learner_id,course_id,group,prediction_week,prediction_cutoff,outcome_window_start,outcome_window_end,inactivity_ratio,overdue_task_rate,activity_drop_ratio,recent_activity_ratio,recent_score,future_disengagement,disengagement_event_on
L01,C01,A,2,2026-09-07,2026-09-08,2026-09-28,0.90,1.00,0.80,0.05,0.35,1,2026-09-12
L02,C01,A,2,2026-09-07,2026-09-08,2026-09-28,0.75,0.67,0.70,0.10,0.45,1,2026-09-18
L03,C01,A,2,2026-09-07,2026-09-08,2026-09-28,0.65,0.33,0.55,0.15,0.55,0,
L04,C01,A,2,2026-09-07,2026-09-08,2026-09-28,0.20,0.00,0.10,0.75,0.82,0,
L05,C01,A,2,2026-09-07,2026-09-08,2026-09-28,0.55,0.67,0.30,0.25,0.60,1,2026-09-25
L06,C01,A,2,2026-09-07,2026-09-08,2026-09-28,0.35,0.00,0.20,0.55,0.72,0,
L07,C01,B,2,2026-09-07,2026-09-08,2026-09-28,0.80,0.67,0.75,0.08,0.42,1,2026-09-14
L08,C01,B,2,2026-09-07,2026-09-08,2026-09-28,0.60,0.33,0.50,0.18,0.58,0,
L09,C01,B,2,2026-09-07,2026-09-08,2026-09-28,0.15,0.00,0.00,0.85,0.88,0,
L10,C01,B,2,2026-09-07,2026-09-08,2026-09-28,0.50,0.33,0.65,0.20,0.50,1,2026-09-27
L11,C01,B,2,2026-09-07,2026-09-08,2026-09-28,0.30,0.00,0.25,0.45,0.70,0,
L12,C01,B,2,2026-09-07,2026-09-08,2026-09-28,0.70,0.67,0.40,0.12,0.48,1,2026-09-20
L13,C02,A,3,2026-09-14,2026-09-15,2026-10-05,0.85,1.00,0.70,0.05,0.40,1,2026-09-19
L14,C02,A,3,2026-09-14,2026-09-15,2026-10-05,0.65,0.67,0.60,0.12,0.52,1,2026-09-29
L15,C02,A,3,2026-09-14,2026-09-15,2026-10-05,0.55,0.33,0.55,0.15,0.60,0,
L16,C02,A,3,2026-09-14,2026-09-15,2026-10-05,0.25,0.00,0.10,0.70,0.80,0,
L17,C02,A,3,2026-09-14,2026-09-15,2026-10-05,0.45,0.67,0.35,0.25,0.58,1,2026-10-03
L18,C02,A,3,2026-09-14,2026-09-15,2026-10-05,0.40,0.00,0.20,0.50,0.68,0,
L19,C02,B,3,2026-09-14,2026-09-15,2026-10-05,0.75,0.67,0.75,0.08,0.46,1,2026-09-22
L20,C02,B,3,2026-09-14,2026-09-15,2026-10-05,0.58,0.33,0.48,0.18,0.57,0,
L21,C02,B,3,2026-09-14,2026-09-15,2026-10-05,0.10,0.00,0.00,0.90,0.90,0,
L22,C02,B,3,2026-09-14,2026-09-15,2026-10-05,0.50,0.33,0.60,0.22,0.51,1,2026-10-04
L23,C02,B,3,2026-09-14,2026-09-15,2026-10-05,0.28,0.00,0.22,0.48,0.71,0,
L24,C02,B,3,2026-09-14,2026-09-15,2026-10-05,0.68,0.67,0.42,0.10,0.49,1,2026-09-26
